ticket,t,stat,width
0,45,0.41,0.18
0,47,0.87,0.31
0,49,0.47,0.16
0,53,0.69,0.24
0,61,1.29,0.40
0,77,1.77,0.48
0,109,1.86,0.31
0,173,2.95,0.52
0,301,3.13,0.35
0,480,3.21,0.20
1,45,0.32,0.15
1,47,0.59,0.28
1,49,0.49,0.27
1,53,0.61,0.24
1,61,0.99,0.34
1,77,1.60,0.48
1,109,1.86,0.47
1,173,3.50,0.59
1,301,3.91,0.43
1,480,3.93,0.33
2,45,1.97,0.69
2,47,2.41,0.78
2,49,2.27,0.63
2,53,3.40,1.11
2,61,3.40,0.89
2,77,4.08,0.84
2,109,5.45,1.72
2,173,5.91,0.79
2,301,7.46,0.85
2,480,8.93,0.82
3,45,2.07,0.70
3,47,3.47,1.37
3,49,3.59,1.15
3,53,3.49,0.98
3,61,6.90,2.40
3,77,9.17,2.38
3,109,11.87,2.88
3,173,20.82,5.24
3,301,29.09,4.92
3,480,33.33,3.98
4,45,0.69,0.42
4,47,0.93,0.46
4,49,0.66,0.34
4,53,1.23,0.63
4,61,1.79,0.72
4,77,1.91,0.61
4,109,4.13,1.04
4,173,10.25,2.00
4,301,13.78,1.78
4,480,14.06,1.23
5,45,2.14,0.76
5,47,2.68,0.93
5,49,3.63,1.26
5,53,5.10,1.60
5,61,5.22,1.47
5,77,8.46,1.74
5,109,17.58,3.25
5,173,28.51,4.70
5,301,30.96,5.47
5,480,29.01,2.55
