ticket,t,stat,width
0,45,2.09,0.35
0,47,1.98,0.33
0,49,2.13,0.36
0,53,2.21,0.32
0,61,2.47,0.32
0,77,3.08,0.96
0,109,3.33,0.35
0,173,3.53,0.26
0,301,3.91,0.25
0,480,4.13,0.21
1,45,2.22,0.47
1,47,2.33,0.56
1,49,2.53,0.60
1,53,2.11,0.47
1,61,2.52,0.39
1,77,2.72,0.37
1,109,3.67,0.48
1,173,3.95,0.37
1,301,4.91,0.49
1,480,4.81,0.30
2,45,25.13,4.02
2,47,27.47,4.85
2,49,25.42,4.36
2,53,24.63,4.11
2,61,26.71,4.79
2,77,20.52,2.52
2,109,18.81,2.23
2,173,15.11,1.10
2,301,15.05,1.28
2,480,13.62,1.01
3,45,52.74,8.43
3,47,52.46,8.90
3,49,55.24,8.87
3,53,69.04,10.17
3,61,85.17,12.65
3,77,116.14,18.00
3,109,142.65,20.51
3,173,155.81,30.04
3,301,117.05,14.55
3,480,77.67,6.58
4,45,23.04,2.85
4,47,20.61,2.70
4,49,23.88,3.03
4,53,27.91,3.54
4,61,28.53,4.03
4,77,30.56,3.80
4,109,28.42,3.20
4,173,26.62,2.39
4,301,23.45,1.78
4,480,21.36,1.37
5,45,19.80,5.02
5,47,30.89,6.21
5,49,23.54,5.43
5,53,36.60,7.27
5,61,45.92,8.37
5,77,85.98,11.87
5,109,120.39,15.40
5,173,106.08,13.29
5,301,78.26,11.27
5,480,52.51,3.25
